airline_id,airline_name
AA,American Airlines Inc.
DL,Delta Air Lines Inc.
UA,United Airlines Inc.
WN,Southwest Airlines Co.
HA,Hawaiian Airlines Inc.
AS,Alaska Airlines Inc.
9K,Hyannis Air Service Inc.
BB,Seaborne Airlines
KS,Penair
ZK,Great Lakes Aviation Ltd.
VX,Virgin America Inc.
3M,Silver Airways Corp.
B6,Jetblue Airways Corporation
MW,Mokulele Flight Service
SY,MN Airlines LLC
WP,Island Air
7H,Corvus Airlines Inc.
F9,Frontier Airlines Inc.
NK,Spirit Airlines
OO,SkyWest Airlines
C5,Champlain Enterprises Inc.
G4,Allegiant Air LLC
VS,Virgin Atlantic Airways Limited
NZ,Air New Zealand Limited
EI,Aer Lingus Limited
VA,Virgin Australia International Airlines Pty Ltd
LA,LATAM Airlines Group S.A.
TP,TAP Portugal
QF,Qantas Airways Ltd.
NH,All Nippon Airways Co. Ltd.
AF,Air France
YX,Republic Airline Inc.
OZ,Asiana Airlines Inc.
AC,Air Canada
YV,Mesa Airlines Inc.
SQ,Singapore Airlines Limited
4B,Boutique Air Inc.
FI,Icelandair
BA,British Airways p.l.c.
MH,Malaysia Airlines Berhad
LY,El Al Israel Airlines Ltd.
WS,WestJet
LH,Deutsche Lufthansa AG
QR,Qatar Airways
KL,KLM
SK,Scandinavian Airlines System
EK,Emirates
OK,Czech Airlines a.s CSA
G3,GOL Linhas Aereas S.A.
JL,Japan Airlines Co. Ltd.
TK,Turkish Airlines Inc.
EV,ExpressJet Airlines Inc.
SN,Brussels Airlines
CZ,China Southern Airlines
PR,Philippine Airlines Inc.
EY,Etihad Airways
AV,Aerovias del Continente Americano S.A. Avianca
QX,Horizon Air Industries Inc.
JJ,TAM Linhas Aereas
US,US Airways Inc.
MQ,Envoy Air Inc.
