airport_id,airport_name,city,state,latitude,longitude
ABE,Lehigh Valley International Airport,Allentown,PA,40.65236,-75.4404
ABI,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919
ABR,Aberdeen Regional Airport,Aberdeen,SD,45.44906,-98.42183
ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447
ACK,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,TX,31.61129,-97.23052
ACV,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862
ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717
ADK,Adak Airport,Adak,AK,51.87796,-176.64603
ADQ,Kodiak Airport,Kodiak,AK,57.74997,-152.49386
AEX,Alexandria International Airport,Alexandria,LA,31.32737,-92.54856
AGS,Augusta Regional Airportξ(Bush Field),Augusta,GA,33.36996,-81.9645
AKN,King Salmon Airport,King Salmon,AK,58.6768,-156.64922
ALB,Albany International Airport,Albany,NY,42.74812,-73.80298
ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.17432,-149.99619
APN,Alpena County Regional Airport,Alpena,MI,45.07807,-83.56029
ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694
ATW,Appleton International Airport,Appleton,WI,44.25741,-88.51948
AUS,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66987
AVL,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72427
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206
BDL,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323
BET,Bethel Airport,Bethel,AK,60.77978,-161.838
BFL,Meadows Field,Bakersfield,CA,35.4336,-119.05677
BGM,Greater Binghamton Airport,Binghamton,NY,42.20848,-75.97961
BGR,Bangor International Airport,Bangor,ME,44.80744,-68.82814
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355
BIL,Billings Logan International Airport,Billings,MT,45.80766,-108.54286
BIS,Bismarck Municipal Airport,Bismarck,ND,46.77411,-100.74672
BJI,Bemidji Regional Airport,Bemidji,MN,47.50942,-94.93372
BLI,Bellingham International Airport,Bellingham,WA,48.79275,-122.53753
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799,-88.91595
BNA,Nashville International Airport,Nashville,TN,36.12448,-86.67818
BOI,Boise Airportξ(Boise Air Terminal),Boise,ID,43.56444,-116.22278
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518
BPT,Jack Brooks Regional Airportξ(Southeast Texas Regional),Beaumont/Port Arthur,TX,29.95083,-94.02069
BQK,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631
